metric,baseline_value,generated_value,delta
objective_value,-0.4088862070027368,-0.4088862070027368,0.0
worst_violation,8.19265965160306e-06,8.19266041457817e-06,7.629751102694029e-13
total_deterministic_deltav,5.854684643744506e-05,5.854684643744506e-05,0.0
total_flight_time_years,1.368925393566051,1.368925393566051,0.0
final_mass_including_propellant_margin,2044.431035013684,2044.431035013684,0.0
