Output Name,Baseline Value,New Value,Error,Tolerance,Match
Mission.Journey[0].MissionEvent[6].SpacecraftState[1],60801036.65428771,60801036.83302201,0.17873430252075195,1e-10,False
Mission.Journey[0].MissionEvent[6].SpacecraftState[2],28623857.33375709,28623857.27700676,0.056750331073999405,1e-10,False
Mission.Journey[0].MissionEvent[6].SpacecraftState[3],-14.78861482,-14.78861486,3.999999975690116e-08,1e-10,False
Mission.Journey[0].MissionEvent[6].SpacecraftState[4],-29.18712049,-29.18712046,3.000000248221113e-08,1e-10,False
Mission.Journey[0].MissionEvent[6].SpacecraftState[5],-12.79356371,-12.79356373,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[0],-104702685.07269917,-104702685.04719138,0.025507792830467224,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[1],18989874.37527731,18989874.58445082,0.2091735079884529,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[2],10141056.0750796,10141055.99765882,0.07742077857255936,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[3],-1.96708417,-1.96708422,5.000000014021566e-08,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[4],-34.24402422,-34.24402421,1.000000082740371e-08,1e-10,False
Mission.Journey[0].MissionEvent[7].SpacecraftState[5],-15.25468401,-15.25468403,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[8].SpacecraftState[0],-97040563.53725016,-97040563.57806054,0.04081037640571594,1e-10,False
Mission.Journey[0].MissionEvent[8].SpacecraftState[1],-26003812.95538977,-26003812.75322088,0.20216889306902885,1e-10,False
Mission.Journey[0].MissionEvent[8].SpacecraftState[2],-10065155.99963131,-10065156.08323228,0.08360096998512745,1e-10,False
Mission.Journey[0].MissionEvent[8].SpacecraftState[3],13.97606279,13.97606274,5.000000058430487e-08,1e-10,False
Mission.Journey[0].MissionEvent[8].SpacecraftState[4],-33.58765575,-33.58765578,2.999999537678377e-08,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[0],-68728263.72597706,-68728263.82139447,0.09541741013526917,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[1],-65254414.52100325,-65254414.3676256,0.15337764471769333,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[2],-28035996.21901805,-28035996.29042624,0.07140818983316422,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[3],28.78284534,28.7828453,3.999999975690116e-08,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[4],-25.38385447,-25.38385452,5.000000058430487e-08,1e-10,False
Mission.Journey[0].MissionEvent[9].SpacecraftState[5],-11.78843899,-11.78843898,9.99999905104687e-09,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[0],-48153697.51466595,-48153697.62739897,0.11273302137851715,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[1],-79752695.99017543,-79752695.8731986,0.11697682738304138,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[2],-34834825.57581974,-34834825.63381265,0.05799291282892227,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[3],36.55939147,36.55939145,2.000000165480742e-08,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[4],-20.14517423,-20.14517429,6.000000141170858e-08,1e-10,False
Mission.Journey[0].MissionEvent[10].SpacecraftState[5],-9.78393402,-9.783934,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[0],-48153697.51466595,-48153697.62739897,0.11273302137851715,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[1],-79752695.99017543,-79752695.8731986,0.11697682738304138,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[2],-34834825.57581974,-34834825.63381265,0.05799291282892227,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[3],36.55939147,36.55939145,2.000000165480742e-08,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[4],-20.14517423,-20.14517429,6.000000141170858e-08,1e-10,False
Mission.Journey[0].MissionEvent[11].SpacecraftState[5],-9.78393402,-9.783934,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[0],-20912179.28191631,-20912179.49111344,0.20919713005423546,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[1],-91245727.95906527,-91245727.89342393,0.06564134359359741,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[2],-40545722.72458135,-40545722.74904132,0.024459965527057648,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[3],39.79282029,39.79282027,2.000000165480742e-08,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[4],-12.18636461,-12.1863647,9.000000034120603e-08,1e-10,False
Mission.Journey[0].MissionEvent[12].SpacecraftState[5],-6.27585445,-6.27585442,2.999999981767587e-08,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[0],35859554.94068212,35859554.72888352,0.21179860085248947,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[1],-97586058.36516878,-97586058.42583072,0.06066194176673889,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[2],-44539948.56451749,-44539948.5388097,0.02570778876543045,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[3],38.84707343,38.84707344,1.000000082740371e-08,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[4],2.64463744,2.64463736,7.999999995789153e-08,1e-10,False
Mission.Journey[0].MissionEvent[13].SpacecraftState[5],0.40223029,0.40223032,2.9999999984209325e-08,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[0],86684325.21844783,86684325.03881367,0.17963416874408722,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[1],-86072298.80251557,-86072298.96894264,0.16642707586288452,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[2],-40397668.30618051,-40397668.22952083,0.0766596794128418,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[3],32.32150123,32.32150126,2.999999537678377e-08,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[4],12.73335614,12.73335608,5.999999963535174e-08,1e-10,False
Mission.Journey[0].MissionEvent[14].SpacecraftState[5],5.0638586,5.06385863,3.000000070585429e-08,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[0],126972549.11280654,126972548.98020723,0.13259930908679962,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[1],-63587836.27069761,-63587836.51433016,0.24363255500793457,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[2],-31116687.13272083,-31116687.01044409,0.12227674201130867,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[3],24.46715192,24.46715196,3.999999975690116e-08,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[4],18.35006907,18.35006902,5.000000058430487e-08,1e-10,False
Mission.Journey[0].MissionEvent[15].SpacecraftState[5],7.74445931,7.74445934,2.999999981767587e-08,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[0],156323427.84892124,156323427.76731792,0.08160331845283508,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[1],-35409228.29320785,-35409228.58887748,0.29566963016986847,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[2],-19058024.68851236,-19058024.52907935,0.1594330072402954,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[3],17.04748168,17.04748172,3.999999975690116e-08,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[4],20.99576609,20.99576606,2.999999892949745e-08,1e-10,False
Mission.Journey[0].MissionEvent[16].SpacecraftState[5],9.08231827,9.08231829,1.999999987845058e-08,1e-10,False
Mission.Journey[0].MissionEvent[17].SpacecraftState[0],175761272.91492584,175761272.8836252,0.031300634145736694,1e-10,False
Mission.Journey[0].MissionEvent[17].SpacecraftState[1],-4877447.0754112,-4877447.40286738,0.32745618000626564,1e-10,False
Mission.Journey[0].MissionEvent[17].SpacecraftState[2],-5742447.11430417,-5742446.9270109,0.18729326967149973,1e-10,False
Mission.Journey[0].MissionEvent[17].SpacecraftState[3],10.51222798,10.51222802,3.999999975690116e-08,1e-10,False
